date,crop_type,growth_stage,temp_max,temp_min,humidity,wind_speed,solar_radiation,rainfall,soil_type,soil_moisture,field_area_ha,irrigation_method,water_need_mm
2024-12-26,citrus,initial,14.9,3.3,80.7,0.9,9.8,0.0,clay,30.3,9.4,drip,0.94
2024-12-27,citrus,initial,14.0,1.8,75.7,6.6,14.4,0.0,clay,29.0,9.4,drip,1.51
2024-12-28,citrus,initial,18.1,4.5,88.3,2.0,7.1,0.0,clay,27.3,9.4,drip,0.39
2024-12-29,citrus,initial,10.1,-2.0,76.7,0.4,13.0,0.0,clay,24.9,9.4,drip,0.33
2024-12-30,citrus,initial,11.0,-0.6,74.2,2.6,9.3,0.0,clay,23.9,9.4,drip,0.23
2024-12-31,citrus,initial,13.3,3.8,82.3,2.2,5.1,0.5,clay,23.2,9.4,drip,0.0
2025-01-01,citrus,initial,13.7,5.0,69.2,2.5,5.0,0.0,clay,21.7,9.4,drip,0.1
2025-01-02,citrus,initial,16.2,1.8,67.9,3.0,10.6,0.0,clay,20.8,9.4,drip,0.17
2025-01-03,citrus,initial,14.4,2.5,62.6,0.7,12.1,0.0,clay,20.2,9.4,drip,0.16
2025-01-04,citrus,development,13.1,-2.0,95.0,5.2,12.6,3.8,clay,20.1,9.4,drip,0.0
2025-01-05,citrus,development,14.1,5.1,64.1,3.0,10.8,0.0,clay,20.0,9.4,drip,0.19
2025-01-06,citrus,development,13.4,0.7,70.6,6.5,5.4,0.0,clay,20.0,9.4,drip,0.13
2025-01-07,citrus,development,11.8,3.0,80.6,1.9,6.1,4.0,clay,20.4,9.4,drip,0.0
2025-01-08,citrus,development,18.1,2.2,72.6,1.3,8.7,2.2,clay,20.0,9.4,drip,0.0
2025-01-09,citrus,development,16.3,3.7,95.0,4.6,3.2,6.6,clay,21.3,9.4,drip,0.0
2025-01-10,citrus,development,18.4,5.7,74.3,1.0,7.6,0.8,clay,20.0,9.4,drip,0.0
2025-01-11,citrus,development,19.0,9.0,69.2,5.0,10.3,0.0,clay,20.0,9.4,drip,0.24
2025-01-12,citrus,development,15.4,0.8,76.7,2.7,8.3,0.0,clay,20.0,9.4,drip,0.12
2025-01-13,citrus,development,17.0,7.4,70.8,2.0,7.1,0.0,clay,20.0,9.4,drip,0.13
2025-01-14,citrus,development,15.1,3.9,72.4,5.5,4.0,0.0,clay,20.0,9.4,drip,0.13
2025-01-15,citrus,development,17.1,6.0,87.7,4.4,4.9,33.7,clay,29.3,9.4,drip,0.0
2025-01-16,citrus,development,19.8,7.6,76.7,3.0,4.8,0.0,clay,28.7,9.4,drip,0.69
2025-01-17,citrus,development,20.7,5.6,78.8,4.7,6.6,0.0,clay,27.9,9.4,drip,0.93
2025-01-18,citrus,development,14.8,5.6,82.3,1.2,12.3,0.0,clay,26.9,9.4,drip,0.77
2025-01-19,citrus,development,13.0,-2.0,69.6,0.5,12.6,0.0,clay,26.1,9.4,drip,0.56
2025-01-20,citrus,development,24.2,11.3,92.1,3.9,5.1,10.3,clay,27.2,9.4,drip,0.0
2025-01-21,citrus,development,13.3,-2.0,73.3,9.7,9.8,4.9,clay,26.6,9.4,drip,0.0
2025-01-22,citrus,development,9.3,-2.0,61.6,0.9,4.0,0.0,clay,25.8,9.4,drip,0.19
2025-01-23,citrus,development,16.3,5.0,61.2,2.1,10.4,0.0,clay,25.3,9.4,drip,0.56
2025-01-24,citrus,development,18.0,2.3,71.6,1.0,8.3,0.0,clay,24.7,9.4,drip,0.3
2025-01-25,citrus,development,14.1,-1.1,81.0,1.6,6.7,0.0,clay,23.1,9.4,drip,0.09
2025-01-26,citrus,development,8.5,-2.0,86.6,0.4,9.3,0.0,clay,21.9,9.4,drip,0.08
2025-01-27,citrus,development,19.1,7.8,60.8,4.3,12.3,3.2,clay,21.0,9.4,drip,0.0
2025-01-28,citrus,development,18.1,4.9,70.4,2.1,10.7,0.0,clay,20.0,9.4,drip,0.18
2025-01-29,citrus,development,13.5,3.1,80.0,0.6,13.9,0.0,clay,20.0,9.4,drip,0.15
2025-01-30,citrus,development,12.6,-0.2,93.3,0.8,2.5,35.6,clay,28.4,9.4,drip,0.0
2025-01-31,citrus,development,19.8,5.4,73.2,1.8,8.6,0.0,clay,26.6,9.4,drip,0.61
2025-02-01,citrus,development,15.7,1.0,73.6,3.0,4.0,0.0,clay,24.8,9.4,drip,0.27
2025-02-02,citrus,development,15.6,7.5,78.6,2.8,11.8,0.0,clay,23.9,9.4,drip,0.31
2025-02-03,citrus,development,19.5,8.5,66.9,2.4,7.9,0.0,clay,22.9,9.4,drip,0.17
2025-02-04,citrus,development,12.6,1.8,65.0,1.1,12.2,0.0,clay,21.1,9.4,drip,0.15
2025-02-05,citrus,development,17.8,8.1,67.1,2.5,4.0,0.0,clay,20.4,9.4,drip,0.13
2025-02-06,citrus,development,17.9,6.0,69.3,1.5,14.6,0.0,clay,20.0,9.4,drip,0.19
2025-02-07,citrus,development,20.3,7.6,65.2,1.9,5.3,0.0,clay,20.0,9.4,drip,0.12
2025-02-08,citrus,development,20.0,6.8,78.5,3.8,10.7,0.0,clay,20.0,9.4,drip,0.19
2025-02-09,citrus,development,18.1,9.8,61.4,4.3,12.8,0.0,clay,20.0,9.4,drip,0.28
2025-02-10,citrus,development,13.6,4.6,77.0,2.6,8.1,0.0,clay,20.0,9.4,drip,0.12
2025-02-11,citrus,development,12.1,-2.0,95.0,0.7,2.3,24.5,clay,25.8,9.4,drip,0.0
2025-02-12,citrus,development,16.5,4.6,85.7,4.0,10.6,0.0,clay,24.5,9.4,drip,0.36
2025-02-13,citrus,development,16.6,6.7,68.4,1.2,6.8,0.2,clay,22.1,9.4,drip,0.0
2025-02-14,citrus,development,12.5,-1.0,59.2,4.1,9.2,0.0,clay,20.4,9.4,drip,0.2
2025-02-15,citrus,development,23.2,11.1,64.6,1.5,11.7,0.0,clay,20.0,9.4,drip,0.2
2025-02-16,citrus,development,17.4,3.3,59.1,1.2,11.5,3.0,clay,20.0,9.4,drip,0.0
2025-02-17,citrus,development,24.0,15.3,67.0,3.2,11.1,0.0,clay,20.0,9.4,drip,0.27
2025-02-18,citrus,development,18.2,7.3,62.4,3.8,7.5,3.0,clay,20.0,9.4,drip,0.0
2025-02-19,citrus,development,16.3,3.6,65.3,4.1,5.5,0.0,clay,20.0,9.4,drip,0.17
2025-02-20,citrus,development,21.8,6.9,74.2,3.6,12.1,0.0,clay,20.0,9.4,drip,0.2
2025-02-21,citrus,development,20.6,5.6,68.0,2.4,8.6,0.0,clay,20.0,9.4,drip,0.18
2025-02-22,citrus,development,18.6,8.3,91.2,2.5,6.1,12.1,clay,22.9,9.4,drip,0.0
2025-02-23,citrus,development,24.2,8.5,95.0,0.7,4.0,14.8,clay,26.1,9.4,drip,0.0
2025-02-24,citrus,development,18.2,3.2,70.3,1.5,12.1,0.3,clay,25.0,9.4,drip,0.24
2025-02-25,citrus,development,19.6,6.1,65.0,1.7,4.1,19.0,clay,30.0,9.4,drip,0.0
2025-02-26,citrus,development,23.3,13.1,81.6,3.4,11.0,0.0,clay,28.7,9.4,drip,1.35
2025-02-27,citrus,development,19.4,9.6,77.3,5.3,8.2,24.4,clay,33.8,9.4,drip,0.0
2025-02-28,citrus,development,22.1,13.1,81.3,4.8,13.0,1.6,clay,32.4,9.4,drip,0.5
2025-03-01,citrus,development,19.4,7.5,69.0,1.4,9.7,0.0,clay,31.9,9.4,drip,1.65
2025-03-02,citrus,development,20.0,8.2,60.6,0.6,14.1,0.0,clay,29.8,9.4,drip,1.6
2025-03-03,citrus,development,19.0,10.1,67.1,0.9,13.5,3.2,clay,29.2,9.4,drip,0.0
2025-03-04,citrus,development,20.1,11.9,60.1,2.0,9.9,0.0,clay,27.3,9.4,drip,1.05
2025-03-05,citrus,development,22.7,13.4,69.4,1.3,12.4,0.0,clay,25.1,9.4,drip,0.62
2025-03-06,citrus,development,23.9,13.2,72.7,2.5,15.2,0.0,clay,23.3,9.4,drip,0.4
2025-03-07,citrus,development,22.0,13.3,55.7,1.6,12.4,0.0,clay,21.4,9.4,drip,0.29
2025-03-08,citrus,development,21.7,12.1,67.0,1.6,13.3,0.0,clay,20.0,9.4,drip,0.24
2025-03-09,citrus,development,23.7,9.7,46.8,1.2,13.4,0.0,clay,20.0,9.4,drip,0.28
2024-07-20,potato,initial,41.8,26.5,19.6,3.5,24.1,0.0,clay,31.4,30.0,sprinkler,8.87
2024-07-21,potato,initial,40.5,31.1,38.6,2.0,29.4,0.0,clay,29.9,30.0,sprinkler,5.7
2024-07-22,potato,initial,43.2,32.0,18.1,3.2,27.5,0.0,clay,28.7,30.0,sprinkler,6.29
2024-07-23,potato,initial,40.7,24.9,20.0,2.0,28.0,0.0,clay,26.5,30.0,sprinkler,3.14
2024-07-24,potato,initial,34.9,22.0,31.4,1.3,29.2,0.0,clay,24.5,30.0,sprinkler,1.54
2024-07-25,potato,initial,45.8,31.0,39.4,5.3,26.9,0.0,clay,23.9,30.0,sprinkler,1.91
2024-07-26,potato,initial,41.7,32.0,36.3,2.2,24.5,0.0,clay,22.4,30.0,sprinkler,0.74
2024-07-27,potato,initial,40.5,28.8,14.9,11.2,30.9,0.0,clay,20.6,30.0,sprinkler,1.53
2024-07-28,potato,initial,37.5,22.6,55.2,3.4,24.7,0.0,clay,20.0,30.0,sprinkler,0.74
2024-07-29,potato,initial,39.1,24.2,31.7,2.5,30.7,0.0,clay,20.0,30.0,sprinkler,0.88
2024-07-30,potato,initial,44.1,32.0,24.8,4.4,26.6,0.0,clay,20.0,30.0,sprinkler,1.03
2024-07-31,potato,initial,42.1,31.4,46.9,3.4,26.4,0.0,clay,20.0,30.0,sprinkler,0.85
2024-08-01,potato,initial,38.6,28.0,36.7,0.9,22.3,0.0,clay,20.0,30.0,sprinkler,0.47
2024-08-02,potato,initial,35.0,25.2,38.3,1.4,25.1,0.0,clay,20.0,30.0,sprinkler,0.66
2024-08-03,potato,initial,31.4,23.2,59.7,0.9,22.5,0.0,clay,20.0,30.0,sprinkler,0.46
2024-08-04,potato,initial,40.5,26.0,34.4,3.0,24.8,0.0,clay,20.0,30.0,sprinkler,0.74
2024-08-05,potato,initial,35.8,21.4,26.0,0.4,28.1,0.0,clay,20.0,30.0,sprinkler,0.49
2024-08-06,potato,initial,38.0,28.5,27.5,3.3,25.1,0.0,clay,20.0,30.0,sprinkler,0.84
2024-08-07,potato,development,38.5,24.1,42.9,1.5,27.0,0.0,clay,20.0,30.0,sprinkler,0.98
2024-08-08,potato,development,38.6,28.8,42.6,0.8,23.0,0.0,clay,20.0,30.0,sprinkler,0.73
2024-08-09,potato,development,37.5,24.1,50.2,2.7,24.3,0.0,clay,20.0,30.0,sprinkler,1.02
2024-08-10,potato,development,39.5,29.8,50.2,5.8,24.9,0.0,clay,20.0,30.0,sprinkler,1.17
2024-08-11,potato,development,35.7,24.3,54.5,4.1,29.8,0.0,clay,20.0,30.0,sprinkler,1.2
2024-08-12,potato,development,42.9,32.0,27.3,1.3,26.5,0.0,clay,20.0,30.0,sprinkler,1.01
2024-08-13,potato,development,38.6,23.6,22.9,3.0,32.0,0.0,clay,20.0,30.0,sprinkler,1.65
2024-08-14,potato,development,39.1,27.3,39.6,1.3,27.8,0.0,clay,20.0,30.0,sprinkler,0.93
2024-08-15,potato,development,37.3,23.3,29.8,4.8,22.4,0.0,clay,20.0,30.0,sprinkler,1.24
2024-08-16,potato,development,36.6,20.7,39.8,3.6,32.0,0.0,clay,20.0,30.0,sprinkler,1.35
2024-08-17,potato,development,37.8,23.6,37.8,1.0,23.2,0.0,clay,20.0,30.0,sprinkler,0.69
2024-08-18,potato,development,38.8,27.6,61.1,0.9,25.7,0.0,clay,20.0,30.0,sprinkler,0.87
2024-08-19,potato,development,37.4,26.4,38.7,3.1,27.4,0.0,clay,20.0,30.0,sprinkler,1.26
2024-08-20,potato,development,34.3,23.6,40.5,2.4,25.5,0.0,clay,20.0,30.0,sprinkler,1.07
2024-08-21,potato,development,36.9,25.7,27.1,1.7,22.4,0.4,clay,20.0,30.0,sprinkler,0.47
2024-08-22,potato,development,36.9,25.5,41.1,0.4,26.1,0.0,clay,20.0,30.0,sprinkler,0.74
2024-08-23,potato,development,33.7,25.2,44.8,1.9,29.6,0.0,clay,20.0,30.0,sprinkler,0.99
2024-08-24,potato,development,35.2,26.3,34.8,1.8,25.1,0.0,clay,20.0,30.0,sprinkler,0.92
2024-08-25,potato,development,31.7,18.7,50.3,0.3,27.7,0.0,clay,20.0,30.0,sprinkler,0.73
2024-08-26,potato,development,32.7,21.3,46.8,3.6,24.7,0.0,clay,20.0,30.0,sprinkler,0.99
2024-08-27,potato,development,38.6,29.5,33.7,0.7,25.2,0.0,clay,20.0,30.0,sprinkler,0.79
2024-08-28,potato,development,35.8,23.4,53.9,2.0,21.0,0.0,clay,20.0,30.0,sprinkler,0.77
2024-08-29,potato,development,28.8,17.6,37.7,5.4,23.8,0.0,clay,20.0,30.0,sprinkler,1.19
2024-08-30,potato,development,32.2,20.7,49.2,1.6,24.0,0.0,clay,20.0,30.0,sprinkler,0.85
2024-08-31,potato,development,36.2,23.3,50.7,2.3,21.9,0.0,clay,20.0,30.0,sprinkler,0.83
2024-09-01,potato,development,35.5,26.8,39.3,2.6,21.6,0.0,clay,20.0,30.0,sprinkler,1.07
2024-09-02,potato,development,37.1,27.6,54.8,4.7,26.0,0.9,clay,20.0,30.0,sprinkler,0.02
2024-09-03,potato,development,32.6,19.6,31.0,1.6,27.7,0.0,clay,20.0,30.0,sprinkler,1.02
2024-09-04,potato,development,32.8,16.9,53.1,5.5,29.0,0.0,clay,20.0,30.0,sprinkler,1.07
2024-09-05,potato,development,32.0,16.6,38.1,0.8,29.6,0.0,clay,20.0,30.0,sprinkler,0.8
2024-09-06,potato,mid_season,33.7,18.6,41.6,0.8,26.0,0.0,clay,20.0,30.0,sprinkler,1.12
2024-09-07,potato,mid_season,35.0,21.0,80.9,2.2,17.5,7.9,clay,21.8,30.0,sprinkler,0.0
2024-09-08,potato,mid_season,33.7,19.9,44.1,1.6,24.8,0.0,clay,20.0,30.0,sprinkler,1.45
2024-09-09,potato,mid_season,37.1,25.0,50.9,0.5,23.8,0.0,clay,20.0,30.0,sprinkler,1.11
2024-09-10,potato,mid_season,32.9,22.9,64.6,2.1,12.5,8.1,clay,21.6,30.0,sprinkler,0.0
2024-09-11,potato,mid_season,31.6,19.2,31.4,1.0,24.7,0.0,clay,20.4,30.0,sprinkler,1.11
2024-09-12,potato,mid_season,38.5,23.4,42.2,0.6,26.8,0.0,clay,20.0,30.0,sprinkler,1.06
2024-09-13,potato,mid_season,36.9,22.5,48.3,1.3,20.6,0.0,clay,20.0,30.0,sprinkler,1.05
2024-09-14,potato,mid_season,39.1,25.7,58.9,1.5,24.6,0.0,clay,20.0,30.0,sprinkler,1.19
2024-09-15,potato,mid_season,31.4,17.1,56.6,3.8,18.5,0.0,clay,20.0,30.0,sprinkler,1.05
2024-09-16,potato,mid_season,32.3,19.5,46.2,2.8,23.5,0.0,clay,20.0,30.0,sprinkler,1.27
2024-09-17,potato,mid_season,29.5,14.7,59.8,0.4,20.2,0.0,clay,20.0,30.0,sprinkler,0.68
2024-09-18,potato,mid_season,32.6,22.2,47.6,4.7,11.2,16.2,clay,24.1,30.0,sprinkler,0.0
2024-09-19,potato,mid_season,30.8,18.8,89.4,1.8,13.3,13.9,clay,27.6,30.0,sprinkler,0.0
2024-09-20,potato,mid_season,31.5,21.4,46.7,3.2,20.5,0.0,clay,25.6,30.0,sprinkler,4.98
2024-09-21,potato,mid_season,30.7,22.2,43.8,2.5,13.7,0.0,clay,23.3,30.0,sprinkler,1.3
2024-09-22,potato,mid_season,31.6,16.1,54.6,2.3,19.0,0.0,clay,20.8,30.0,sprinkler,1.02
2024-09-23,potato,mid_season,27.4,17.8,36.4,0.6,24.1,2.6,clay,20.6,30.0,sprinkler,0.0
2024-09-24,potato,mid_season,34.4,22.2,47.1,2.8,18.0,0.0,clay,20.0,30.0,sprinkler,1.16
2024-09-25,potato,mid_season,32.1,20.4,76.3,7.0,11.0,7.2,clay,21.6,30.0,sprinkler,0.0
2024-09-26,potato,mid_season,32.4,22.3,45.9,1.2,15.8,0.0,clay,20.0,30.0,sprinkler,0.81
2024-09-27,potato,mid_season,29.3,17.7,56.2,4.4,19.7,0.0,clay,20.0,30.0,sprinkler,1.21
2024-09-28,potato,mid_season,31.7,20.6,52.5,0.8,20.9,0.0,clay,20.0,30.0,sprinkler,0.99
2024-09-29,potato,mid_season,32.2,20.0,49.8,3.5,17.1,0.0,clay,20.0,30.0,sprinkler,1.1
2024-09-30,potato,mid_season,31.2,15.3,60.0,1.9,11.9,5.8,clay,20.0,30.0,sprinkler,0.0
2024-10-01,potato,mid_season,29.6,13.9,66.5,3.1,19.2,0.0,clay,20.0,30.0,sprinkler,0.85
2024-10-02,potato,mid_season,32.3,23.0,76.0,2.2,9.5,13.1,clay,21.8,30.0,sprinkler,0.0
2024-10-03,potato,mid_season,34.6,24.0,56.6,5.7,18.6,0.0,clay,20.3,30.0,sprinkler,1.3
2024-10-04,potato,mid_season,31.9,22.5,61.9,3.7,17.1,0.0,clay,20.0,30.0,sprinkler,0.96
2024-10-05,potato,mid_season,31.0,18.0,66.4,4.9,17.3,0.0,clay,20.0,30.0,sprinkler,0.99
2024-10-06,potato,mid_season,26.1,15.5,49.5,3.0,17.2,0.0,clay,20.0,30.0,sprinkler,0.97
2024-10-07,potato,mid_season,32.4,20.3,64.6,1.2,16.2,0.0,clay,20.0,30.0,sprinkler,0.75
2024-10-08,potato,mid_season,30.1,16.8,58.9,2.2,15.2,0.0,clay,20.0,30.0,sprinkler,0.78
2024-10-09,potato,mid_season,28.3,17.3,66.2,1.8,17.6,0.0,clay,20.0,30.0,sprinkler,0.72
2024-10-10,potato,mid_season,29.9,14.7,62.9,3.9,20.4,0.0,clay,20.0,30.0,sprinkler,0.96
2024-10-11,potato,mid_season,28.5,16.2,49.4,2.3,16.5,0.0,clay,20.0,30.0,sprinkler,0.77
2024-10-12,potato,mid_season,29.6,19.2,88.5,7.2,13.7,8.7,clay,21.1,30.0,sprinkler,0.0
2024-10-13,potato,mid_season,24.3,15.5,58.9,3.2,19.2,0.0,clay,20.0,30.0,sprinkler,0.69
2024-10-14,potato,mid_season,28.9,18.4,71.6,2.1,16.6,0.0,clay,20.0,30.0,sprinkler,0.76
2024-10-15,potato,mid_season,31.6,21.7,64.7,1.3,17.0,0.0,clay,20.0,30.0,sprinkler,0.76
2024-10-16,potato,mid_season,28.1,14.2,80.5,2.9,14.5,0.0,clay,20.0,30.0,sprinkler,0.5
2024-10-17,potato,mid_season,25.0,9.2,51.0,2.3,10.3,0.0,clay,20.0,30.0,sprinkler,0.6
2024-10-18,potato,late_season,21.7,13.6,69.1,1.8,10.7,0.0,clay,20.0,30.0,sprinkler,0.28
2024-10-19,potato,late_season,26.5,17.6,51.1,2.9,9.7,0.0,clay,20.0,30.0,sprinkler,0.43
2024-10-20,potato,late_season,21.1,9.7,67.2,2.4,11.3,0.0,clay,20.0,30.0,sprinkler,0.33
2024-10-21,potato,late_season,24.0,13.9,60.7,3.0,14.0,4.8,clay,20.0,30.0,sprinkler,0.0
2024-10-22,potato,late_season,24.3,13.0,58.3,2.9,17.2,0.0,clay,20.0,30.0,sprinkler,0.51
2024-10-23,potato,late_season,28.6,20.5,42.6,4.3,16.2,0.0,clay,20.0,30.0,sprinkler,0.79
2024-10-24,potato,late_season,22.6,13.5,59.9,2.4,23.4,1.3,clay,20.0,30.0,sprinkler,0.0
2024-10-25,potato,late_season,28.4,15.2,51.9,3.7,17.7,0.0,clay,20.0,30.0,sprinkler,0.72
2024-10-26,potato,late_season,22.4,10.9,66.2,3.8,14.6,0.0,clay,20.0,30.0,sprinkler,0.45
2024-10-27,potato,late_season,28.2,14.5,44.6,1.3,19.3,0.0,clay,20.0,30.0,sprinkler,0.55
2024-10-28,potato,late_season,26.4,17.2,62.1,2.5,13.0,0.0,clay,20.0,30.0,sprinkler,0.42
2024-10-29,potato,late_season,26.7,15.8,78.1,8.1,13.2,0.0,clay,20.0,30.0,sprinkler,0.44
2024-10-30,potato,late_season,23.7,12.6,51.3,2.2,13.6,0.0,clay,20.0,30.0,sprinkler,0.5
2024-10-31,potato,late_season,25.6,12.7,59.2,0.8,9.8,0.0,clay,20.0,30.0,sprinkler,0.28
2024-11-01,potato,late_season,30.0,15.9,60.7,5.8,11.7,4.2,clay,20.2,30.0,sprinkler,0.0
2024-11-02,potato,late_season,23.3,12.5,68.1,1.2,14.6,0.0,clay,20.0,30.0,sprinkler,0.35
2024-11-03,potato,late_season,25.6,13.0,51.2,3.8,13.7,0.0,clay,20.0,30.0,sprinkler,0.53
2024-11-04,potato,late_season,23.5,8.6,81.5,3.4,12.4,0.0,clay,20.0,30.0,sprinkler,0.28
2024-11-05,potato,late_season,19.0,3.2,93.0,2.7,4.7,14.3,clay,22.8,30.0,sprinkler,0.0
2024-11-06,potato,late_season,25.5,9.7,66.7,5.7,12.3,0.0,clay,20.4,30.0,sprinkler,0.45
2024-11-07,potato,late_season,21.7,6.9,76.4,2.4,14.9,0.0,clay,20.0,30.0,sprinkler,0.24
2024-11-08,potato,late_season,21.9,8.4,61.1,5.0,16.3,0.0,clay,20.0,30.0,sprinkler,0.47
2024-11-09,potato,late_season,24.4,14.7,60.0,4.8,15.0,0.0,clay,20.0,30.0,sprinkler,0.57
2024-11-10,potato,late_season,24.0,10.8,89.3,4.1,5.9,6.7,clay,20.7,30.0,sprinkler,0.0
2024-11-11,potato,late_season,19.8,10.9,47.0,3.2,16.9,0.0,clay,20.1,30.0,sprinkler,0.53
2024-11-12,potato,late_season,20.8,10.4,59.1,1.6,9.6,0.0,clay,20.0,30.0,sprinkler,0.26
2024-11-13,potato,late_season,23.0,11.2,72.8,1.0,7.3,0.0,clay,20.0,30.0,sprinkler,0.18
2024-11-14,potato,late_season,21.0,9.4,76.8,7.9,15.8,0.0,clay,20.0,30.0,sprinkler,0.4
2024-11-15,potato,late_season,22.5,8.0,77.6,12.0,9.8,0.0,clay,20.0,30.0,sprinkler,0.36
2024-11-16,potato,late_season,21.6,13.2,57.8,1.5,15.2,0.0,clay,20.0,30.0,sprinkler,0.42
2022-11-21,citrus,initial,16.9,8.2,70.2,1.2,13.9,0.0,loam,27.8,0.5,center_pivot,2.02
2022-11-22,citrus,initial,21.6,8.2,66.9,4.5,11.5,0.0,loam,27.0,0.5,center_pivot,2.74
